DUPLICATES,SEQUENTIAL,MAX_MEMORY,ENV_SHARED_CACHE,REPLICATED,ENV_IS_LOCKING,CACHE_MODE,TEMPORARY,JE_FILE_LEVEL,ENV_BACKGROUND_READ_LIMIT,LOCK_DEADLOCK_DETECT,TXN_SERIALIZABLE_ISOLATION,JE_DURABILITY,ADLER32_CHUNK_SIZE,CHECKPOINTER_BYTES_INTERVAL,time
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.566
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18.534
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.567
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.566
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.566
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.57
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.567
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.566
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.567
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.568
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.567
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.568
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.566
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.567
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.566
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.566
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10.889
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1.568
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.566
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.568
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.569
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.566
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.566
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.571
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.566
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.567
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.567
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.566
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.568
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.567
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14.974
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.567
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.566
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.567
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.566
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.567
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,18.725
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.566
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.566
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.566
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.569
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1.566
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,18.393
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.566
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.565
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.566
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.566
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.568
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.566
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18.565
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.567
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.567
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.568
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.567
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.567
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18.168
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.566
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.566
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,18.529
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11.027
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.566
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.566
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.567
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.566
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.565
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.566
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18.539
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.566
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.568
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18.54
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.566
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.567
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.566
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.569
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.566
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.567
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.566
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.566
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.567
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.566
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.567
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.566
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,18.523
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.567
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.566
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.566
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.569
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1.567
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18.51
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.569
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.565
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.566
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.567
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1.567
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.567
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.567
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.567
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1.566
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.566
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.568
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.569
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.566
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.568
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.565
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18.411
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.567
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.568
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.566
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,26.829
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.568
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.565
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.569
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.567
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1.566
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.565
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.566
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.57
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.567
